"";"ID";"value_mortgage";"value_nonmortgage"
"67";"188-68-4503";475348;6445
"68";"882-72-8873";0;16230
"69";"531-63-8603";392194;2587
"70";"769-82-1908";0;46279
"71";"687-11-5869";557484;11629
"72";"236-44-4997";0;4716
"73";"492-45-5093";543362;8716
"74";"669-20-6667";0;12425
"75";"463-58-6079";589127;4684
"76";"889-92-4075";0;19038
"77";"833-98-9740";435452;9432
"78";"709-43-7374";0;3091
"79";"627-64-8383";317344;9774
"80";"803-42-7683";0;13546
"81";"950-18-7636";0;5151
"82";"426-51-8921";0;7232
"83";"769-90-4697";355943;27424
"84";"864-36-8013";196365;6104
"85";"697-40-6163";359105;11000
"86";"379-16-5764";0;21173
"87";"937-30-8296";0;3345
"88";"150-79-2813";0;2152
"89";"565-85-4070";411927;19361
"90";"296-32-9281";0;6198
"91";"768-33-5716";533319;5464
"92";"738-21-3338";0;3219
"93";"155-36-5523";0;9875
"94";"571-93-7635";0;2732
"95";"575-95-4351";0;9678
"96";"592-59-1433";0;4002
"97";"543-28-1268";0;5876
"98";"555-21-3398";429981;14784
"99";"379-38-5326";0;750
"100";"840-44-5752";0;7253
"101";"951-54-3494";0;6488
"102";"206-85-8869";0;19207
"103";"367-62-4604";0;13592
"104";"117-34-6221";0;12299
"105";"694-25-5151";0;18569
"106";"819-17-9920";0;5102
"107";"707-41-7029";0;7689
"108";"135-79-8195";0;22980
"109";"167-15-5138";0;31007
"110";"691-23-7171";0;7227
"111";"935-15-3242";0;12094
"112";"179-52-1095";0;5588
"113";"565-57-2421";0;12284
"114";"517-96-8038";276173;17966
"115";"122-91-7018";426567;3527
"116";"327-39-9592";0;7759
"117";"927-71-7643";255244;12495
"118";"193-37-7187";0;19233
"119";"729-18-4046";614969;7324
"120";"905-36-7816";0;3144
"121";"527-64-4231";0;17907
"122";"575-43-9669";341721;12008
"123";"467-99-6107";0;13750
"124";"492-98-2440";0;4224
"125";"831-30-1284";314223;14319
"126";"619-17-1149";0;1830
"127";"766-36-8782";0;12733
"128";"504-73-8663";0;23411
"129";"323-34-5246";479192;1701
"130";"443-17-2600";319822;41050
"131";"566-80-2299";0;11594
"132";"642-10-6862";0;10782
"133";"484-18-6563";0;13743
"134";"640-58-3555";402542;7712
"135";"983-60-1631";0;592
"136";"546-58-1742";0;13794
"137";"755-62-5126";514660;6448
"138";"307-44-5982";0;6439
"139";"737-95-1107";989346;8630
"140";"352-53-9285";550003;5511
"141";"146-80-7585";0;11904
"142";"909-19-8738";0;2004
"143";"113-47-1089";0;21556
"144";"452-85-5813";590143;17537
"145";"980-35-9076";0;10951
"146";"797-65-3809";0;19649
"147";"967-51-2642";626240;25052
"148";"878-96-1781";0;10107
"149";"104-97-5604";536287;3547
"150";"186-16-1694";0;16069
"151";"672-85-2517";0;8728
"152";"341-28-1930";0;9456
"153";"361-66-6498";0;12461
"154";"683-35-6668";0;6962
"155";"474-91-7612";0;7203
"156";"680-59-3196";372385;18656
"157";"620-12-1760";0;7462
"158";"739-28-3867";0;1136
"159";"143-33-6285";0;1728
"160";"867-95-4475";0;24359
"161";"534-19-1107";0;8902
"162";"285-20-7117";367073;13499
"163";"195-16-3765";0;11484
"164";"522-51-3423";0;41073
"165";"804-99-7857";0;7488
"166";"559-54-2263";0;7475
"167";"605-50-5835";514341;2595
"168";"148-89-2445";0;31735
"169";"782-30-6336";0;8013
"170";"517-19-2434";461653;10577
"171";"595-12-3929";371631;3985
"172";"593-39-5479";567882;3682
"173";"505-97-6330";0;7144
"174";"891-60-2179";428641;8328
"175";"845-98-6061";0;3693
"176";"534-35-2087";0;13495
"177";"258-92-9515";0;3091
"178";"213-78-2795";0;4751
"179";"214-11-3614";0;6070
"180";"653-36-7188";932757;16812
"181";"942-81-7296";0;4801
"182";"772-60-3257";0;16058
"183";"216-84-7323";0;8052
"184";"725-67-2649";0;34377
"185";"398-90-8903";202567;9148
"186";"481-71-8185";0;21274
"187";"812-98-6919";578975;15220
"188";"413-85-9676";0;11033
"189";"396-22-6369";0;602
"190";"698-76-8737";0;3596
"191";"576-96-1761";0;6426
"192";"197-73-5972";0;8422
"193";"142-35-5597";472932;28471
"194";"682-96-8385";551340;2341
"195";"501-57-2154";0;11420
"196";"591-75-7185";0;12049
"197";"714-98-6762";0;3376
"198";"282-11-1301";247077;10785
"199";"961-31-4879";0;5286
"200";"921-89-2024";0;10172
"201";"774-68-4933";0;5091
"202";"620-16-4114";0;11850
"203";"225-80-5149";0;20694
"204";"882-79-2667";545476;6160
"205";"638-95-7140";356209;12269
"206";"843-58-6313";0;1886
"207";"309-17-3523";652913;4283
"208";"496-91-7671";0;15710
"209";"296-83-3571";0;7068
"210";"809-53-5606";0;4191
"211";"182-30-2184";0;6367
"212";"380-21-3639";904184;10966
"213";"526-82-5996";519971;5344
"214";"726-97-3663";352637;9826
"215";"403-63-5766";1106516;22722
"216";"560-10-8117";0;8846
"217";"284-98-3769";442012;5063
"218";"469-82-5959";0;37686
"219";"935-55-1006";0;4234
"220";"343-59-6517";0;8459
"221";"388-73-6673";546493;16101
"222";"682-63-7797";562777;2887
"223";"991-57-9196";0;13201
"224";"561-12-3743";0;6580
"225";"739-20-7741";0;3643
"226";"816-19-2021";0;2997
"227";"943-81-3373";0;11023
"228";"348-99-1392";308637;9283
"229";"897-43-5883";0;5665
"230";"356-57-9771";0;7482
"231";"976-16-6839";612009;20663
"232";"503-61-8860";828917;2968
"233";"326-69-6030";0;12359
"234";"134-70-2787";1012504;15899
"235";"964-70-7016";0;18429
"236";"383-91-9625";506160;6539
"237";"259-81-4991";0;1357
"238";"449-26-7776";384069;27488
"239";"307-78-1190";0;12297
"240";"440-68-7370";0;33041
"241";"911-15-9291";284048;4895
"242";"289-57-5789";0;12411
"243";"333-62-9582";0;10861
"244";"584-84-2046";0;6577
"245";"892-83-1364";0;4194
"246";"950-25-4712";0;9091
"247";"634-10-1091";0;11431
"248";"512-89-6875";397676;17909
"249";"974-44-2891";0;5251
"250";"668-17-3004";0;5368
"251";"535-25-6184";718669;10413
"252";"876-11-4512";0;7288
"253";"288-34-5636";0;10082
"254";"641-31-9575";794622;11299
"255";"481-98-6193";360831;10214
"256";"709-75-2900";359520;4283
"257";"767-73-2998";0;6359
"258";"653-59-6250";0;1912
"259";"869-15-6935";0;29878
"260";"677-57-6564";0;23761
"261";"589-51-3840";499348;5203
"262";"309-87-7624";0;17522
"263";"248-52-1597";0;30834
"264";"491-44-3538";0;7661
"265";"334-40-3642";0;21224
"266";"930-74-1826";0;24849
"267";"486-75-2096";739046;8965
"268";"685-72-4627";748676;13839
"269";"986-72-1032";0;4638
"270";"600-87-7880";0;24990
"271";"375-79-1975";700984;13166
"272";"400-40-2661";0;13985
"273";"675-27-6665";377427;3859
"274";"573-20-6769";0;7593
"275";"698-77-1412";0;2341
"276";"657-87-3342";754972;6392
"277";"666-88-6757";0;4213
"278";"812-40-4303";0;18472
"279";"899-18-2639";0;20514
"280";"920-45-4527";0;4790
"281";"132-61-9561";0;6935
"282";"731-68-5841";0;8477
"283";"164-23-6787";0;7026
"284";"920-25-2411";577527;2600
"285";"228-25-3858";0;1059
"286";"355-82-8283";0;17367
"287";"766-98-5146";601159;9065
"288";"478-65-7120";0;10174
"289";"272-89-1084";0;14902
"290";"451-86-4227";768278;11596
"291";"912-65-5705";386062;9327
"292";"977-86-5451";0;4536
"293";"876-18-6406";0;6581
"294";"879-99-7942";0;5013
"295";"842-35-7824";0;17116
"296";"426-26-9839";311507;3387
"297";"662-31-9017";646901;12404
"298";"542-12-5491";0;10005
"299";"551-71-9553";0;4483
"300";"256-36-2983";0;782
"301";"362-90-4817";0;19166
"302";"504-54-7681";0;12397
"303";"509-74-6753";0;26554
"304";"224-37-2842";0;16291
"305";"396-84-1604";0;15791
"306";"719-39-6741";0;8076
"307";"958-89-4471";0;7307
"308";"437-21-8825";0;15583
"309";"352-87-5377";0;8014
"310";"382-19-3126";0;999
"311";"953-65-3625";0;9694
"312";"571-15-1968";0;10091
"313";"297-17-9064";338545;5951
"314";"217-86-2392";0;20537
"315";"192-99-4180";0;3493
"316";"854-27-7540";0;1920
"317";"224-36-1102";577991;4853
"318";"192-96-8952";0;3999
"319";"995-82-4314";855388;5401
"320";"865-30-4034";388327;4876
"321";"856-52-2622";0;1136
"322";"942-66-1510";0;6379
"323";"177-30-5445";259387;3989
"324";"336-66-4650";0;21819
"325";"566-67-2080";836049;17321
"326";"538-67-8794";0;8524
"327";"476-67-8928";0;12192
"328";"424-78-8259";0;1707
"329";"361-87-5298";366573;31442
"330";"498-13-1121";0;15099
"331";"845-59-9780";0;11356
"332";"506-69-4312";0;20333
"333";"574-64-4765";387815;9416
"334";"817-45-3869";0;13966
"335";"962-23-9660";0;3373
"336";"585-99-9894";0;3844
"337";"112-24-5779";396315;31096
"338";"491-47-7213";0;19147
"339";"136-54-7880";0;5706
"340";"204-16-2636";0;4225
"341";"609-65-3066";506002;4758
"342";"180-58-3114";637450;10090
"343";"125-61-6416";0;914
"344";"288-70-5889";0;9803
"345";"968-37-5152";572370;12412
"346";"270-73-3562";0;4368
"347";"941-65-7748";0;5289
"348";"755-34-4389";0;7581
"349";"823-60-2203";211405;6470
"350";"640-63-7730";518369;594
"351";"766-38-6358";648684;8445
"352";"275-57-1005";0;19570
"353";"445-17-5381";0;11023
"354";"399-76-1356";0;3149
"355";"696-38-4297";0;22372
"356";"531-61-6784";0;5135
"357";"259-29-6434";0;4608
"358";"915-79-5843";489849;8329
"359";"746-19-3040";0;6930
"360";"166-84-8133";464937;10905
"361";"819-42-2269";0;8288
"362";"914-91-6060";392347;4665
"363";"264-70-6758";802279;5356
"364";"870-42-1245";351168;2287
"365";"429-23-5376";0;16789
"366";"798-89-9917";493131;20967
"367";"601-36-7099";0;24888
"368";"465-47-7214";0;1521
"369";"411-69-7180";0;8938
"370";"489-95-5045";0;11898
"371";"172-59-8922";464753;8544
"372";"890-87-5587";0;20008
"373";"375-35-3893";0;21744
"374";"417-63-1356";0;1671
"375";"506-69-2942";0;3680
"376";"383-98-3220";340620;12785
"377";"112-73-4822";0;9377
"378";"859-37-4502";0;11330
"379";"638-50-6114";435812;6668
"380";"563-71-1126";0;8231
"381";"383-76-5865";0;10147
"382";"793-67-9535";0;8581
"383";"521-90-4927";530249;8372
"384";"387-12-1777";0;9421
"385";"873-17-2053";0;3729
"386";"150-73-2290";697626;14756
"387";"326-14-2888";672053;18866
"388";"636-84-3194";630856;7274
"389";"281-97-8064";302859;11837
"390";"611-85-9375";0;15021
"391";"922-58-6063";0;10952
"392";"191-83-5138";559522;3415
"393";"316-24-5395";0;26384
"394";"406-61-5437";445565;8847
"395";"526-53-6245";0;10183
"396";"880-19-3100";255158;6821
"397";"185-83-5296";993318;6231
"398";"148-72-2255";0;11221
"399";"304-74-2333";0;3436
"400";"743-80-7509";0;1535
"401";"466-86-5659";703952;6836
"402";"346-45-5864";516075;9046
"403";"307-68-9119";0;9563
"404";"452-79-9647";0;3969
"405";"931-51-7490";0;9012
"406";"642-79-6471";684200;16854
"407";"961-37-1046";286808;10388
"408";"338-82-9238";0;14316
"409";"299-95-7930";0;6461
"410";"971-96-1603";251844;1888
"411";"441-85-2872";0;9790
"412";"762-56-5984";0;6010
"413";"684-47-2600";0;8378
"414";"721-83-4312";0;15457
"415";"844-58-3800";0;14512
"416";"885-22-6123";269922;7815
"417";"555-64-9530";0;3111
"418";"711-58-7946";0;564
"419";"398-64-2763";975267;4573
"420";"986-94-3314";0;16487
"421";"138-76-9275";0;6547
"422";"514-33-4896";0;11861
"423";"820-89-6524";482380;5869
"424";"777-68-1146";346114;5266
"425";"196-16-8295";0;16722
"426";"740-69-9305";0;20109
"427";"374-14-2481";0;3361
"428";"585-32-9073";0;4884
"429";"373-87-6580";0;25349
"430";"721-78-9023";563168;10947
"431";"132-55-4956";867857;8259
"432";"615-46-6299";0;5397
"433";"581-20-1531";0;10043
"434";"387-37-9927";0;2016
"435";"301-85-7856";0;8236
"436";"612-24-6987";0;2998
"437";"145-63-8998";412036;12802
"438";"541-42-4780";0;1539
"439";"807-22-8047";271025;4859
"440";"766-56-5002";0;4410
"441";"951-13-7933";0;15369
"442";"450-97-4867";0;9837
"443";"618-48-5174";512895;13270
"444";"868-30-5252";0;19031
"445";"165-46-5138";344316;8138
"446";"382-19-7373";0;35423
"447";"447-69-8294";418209;12470
"448";"935-95-1846";0;16794
"449";"539-19-2354";779229;17895
"450";"727-42-7003";412067;8490
"451";"156-54-9154";457810;3610
"452";"629-99-5891";0;5893
"453";"654-27-2501";749277;8464
"454";"348-10-5808";0;14382
"455";"733-51-9845";448652;17053
"456";"565-48-5706";160462;21878
"457";"377-63-5881";886648;6882
"458";"261-31-7550";0;8092
"459";"163-42-5337";0;7898
"460";"917-92-4870";0;12662
"461";"728-73-1423";0;41562
"462";"498-11-9215";0;3544
"463";"384-72-8740";270870;10951
"464";"131-40-4176";0;16211
"465";"449-69-5657";0;3015
"466";"522-96-9894";690277;28474
"467";"817-88-7534";0;18697
"468";"864-63-7036";0;9658
"469";"349-49-1189";494637;1970
"470";"720-37-1814";0;5106
"471";"966-66-7658";0;41224
"472";"207-55-6982";0;12503
"473";"337-20-6409";0;10905
"474";"360-33-8452";0;2005
"475";"742-46-6660";0;10003
"476";"223-21-8365";0;7328
"477";"304-68-6161";0;9940
"478";"829-10-1699";323072;5752
"479";"173-17-3433";0;8669
"480";"426-76-4933";360446;12616
"481";"997-29-8031";0;11546
"482";"167-65-4469";523919;6546
"483";"262-17-4735";0;6349
"484";"642-93-7718";0;5682
"485";"317-93-8052";0;8776
"486";"147-55-8864";0;3609
"487";"214-54-8490";487365;4121
"488";"563-38-5865";616899;21125
"489";"440-15-7768";0;16905
"490";"136-24-3954";501364;4851
"491";"482-64-8477";539950;13884
"492";"581-85-4269";0;22513
"493";"615-40-5490";0;2938
"494";"350-89-9887";0;1619
"495";"229-32-8818";0;13335
"496";"275-83-5663";0;10601
"497";"300-27-4373";0;11774
"498";"486-59-8153";515578;10338
"499";"168-11-7079";0;1955
"500";"144-37-3109";0;12124
"501";"152-26-2112";412557;2584
"502";"738-78-3686";0;2207
"503";"233-66-8526";0;7423
"504";"783-16-6033";0;20136
"505";"894-10-6988";0;7608
"506";"701-66-2969";0;26221
"507";"338-70-6146";529013;2869
"508";"637-96-3504";567945;5761
"509";"969-85-3816";626742;7788
"510";"209-79-3140";0;2439
"511";"995-45-9297";0;6522
"512";"277-79-4314";0;9957
"513";"869-68-9121";0;7799
"514";"813-76-4988";0;9833
"515";"673-58-2345";241383;17921
"516";"286-40-8195";0;4290
"517";"839-14-8526";209170;6062
"518";"703-93-1656";494574;15123
"519";"207-58-4722";0;3524
"520";"534-54-4849";0;13434
"521";"144-49-3086";0;17005
"522";"360-95-6342";685707;7039
"523";"116-71-1219";344638;7639
"524";"685-10-6398";0;2172
"525";"807-65-8586";0;6417
"526";"661-46-8015";0;9308
"527";"160-36-7852";513949;18117
"528";"700-30-6159";0;12859
"529";"720-24-1596";520581;4563
"530";"474-16-3426";0;9938
"531";"256-62-4789";0;20090
"532";"854-58-7264";0;3395
"533";"666-72-7598";0;33853
"534";"951-16-8563";0;4248
"535";"208-67-9439";0;7027
"536";"939-64-2146";0;6328
"537";"111-68-5065";0;6638
"538";"425-10-2947";444232;5857
"539";"645-27-5350";0;10062
"540";"462-35-9233";0;9867
"541";"894-17-4412";0;12535
"542";"926-39-5810";0;3020
"543";"295-47-6226";379213;5459
"544";"204-86-6446";360735;13825
"545";"643-70-6298";580925;20641
"546";"383-35-9006";0;13959
"547";"344-23-2611";0;6994
"548";"458-81-5611";0;4497
"549";"702-76-1406";0;14773
"550";"668-38-3547";0;1425
"551";"346-87-9651";0;17552
"552";"114-72-1720";0;14529
"553";"134-57-7545";0;4537
"554";"296-61-1054";447227;5158
"555";"365-56-4589";0;5973
"556";"463-56-5131";0;2324
"557";"277-32-5335";0;3070
"558";"419-67-4672";0;4965
"559";"903-96-5072";0;10881
"560";"360-78-6784";281394;11682
"561";"454-36-1854";0;5454
"562";"579-61-8994";0;12856
"563";"363-59-2748";94253;2452
"564";"303-66-5953";342869;3743
"565";"468-77-8507";0;2401
"566";"966-55-1540";0;23385
"567";"937-85-3521";0;16121
"568";"282-99-9349";0;14924
"569";"761-10-5435";299337;4211
"570";"827-13-1000";0;2926
"571";"417-61-4950";450644;7362
"572";"103-57-8632";0;18480
"573";"678-47-8474";573120;19954
"574";"324-71-8311";613727;2412
"575";"673-53-9443";0;4845
"576";"197-82-1138";0;3360
"577";"354-86-4006";0;8129
"578";"640-50-8817";0;13258
"579";"235-18-8558";0;24673
"580";"635-48-2415";0;26090
"581";"588-87-3066";407596;4856
"582";"792-98-3565";0;1708
"583";"253-61-8630";0;6062
"584";"205-40-7584";258590;1917
"585";"100-32-3075";299374;14462
"586";"297-30-6302";0;17857
"587";"784-10-7538";655147;15924
"588";"666-41-3242";0;18782
"589";"745-51-3770";247815;3046
"590";"748-16-9498";0;12076
"591";"280-14-9321";0;24596
"592";"885-11-8261";198544;12816
"593";"565-64-9324";0;7222
"594";"117-20-3146";0;18456
"595";"310-24-5173";704808;18056
"596";"503-21-3210";0;31606
"597";"866-58-3052";820252;2017
"598";"711-35-3634";0;8516
"599";"516-90-5081";581016;7762
"600";"684-64-6885";0;5375
"601";"610-26-2459";539152;16309
"602";"425-69-4847";0;23661
"603";"443-35-2640";484611;12146
"604";"846-20-1383";0;1307
"605";"215-32-7190";0;4511
"606";"552-67-4051";0;18633
"607";"546-54-1345";0;8600
"608";"574-35-9567";939535;4022
"609";"953-82-2246";369927;9981
"610";"857-53-3031";0;16622
"611";"195-58-3139";0;9115
"612";"605-71-3020";372821;4565
"613";"834-48-6572";0;6460
"614";"796-49-9845";0;3428
"615";"553-77-5424";0;6755
"616";"185-32-6746";0;5637
"617";"834-74-8384";0;28631
"618";"125-16-6313";316905;17962
"619";"360-41-1664";310494;16380
"620";"182-20-3483";0;11454
"621";"608-97-5677";0;12326
"622";"166-37-1136";0;2952
"623";"542-56-1324";577615;4829
"624";"695-46-4367";0;679
"625";"702-30-3680";329157;16055
"626";"419-19-7530";0;4376
"627";"603-43-5770";0;9220
"628";"914-88-1785";0;19036
"629";"165-55-2240";0;11163
"630";"798-83-8566";0;12702
"631";"452-71-9122";0;12636
"632";"852-69-7137";0;9742
"633";"542-25-2392";367540;27853
"634";"595-63-2331";365866;1924
"635";"232-71-6111";0;5251
"636";"351-12-1125";0;12497
"637";"557-94-5053";0;11216
"638";"477-75-2104";0;6034
"639";"445-37-1910";0;21902
"640";"361-87-3490";0;12909
"641";"262-75-9745";221478;22186
"642";"754-21-7616";0;18039
"643";"451-14-2344";470559;2873
"644";"805-93-7987";0;5369
"645";"592-16-4182";913814;7307
"646";"618-30-6140";0;17467
"647";"768-91-3170";0;13714
"648";"209-58-6061";420218;12345
"649";"900-84-6665";0;5054
"650";"351-65-8583";0;1439
"651";"925-41-6216";0;3931
"652";"226-62-6086";255160;6784
"653";"749-20-9778";0;11771
"654";"361-68-3812";0;13926
"655";"802-15-6275";0;11113
"656";"955-28-4388";618790;23070
"657";"577-15-1858";285668;1493
"658";"772-42-4189";276366;16149
"659";"410-24-5926";818333;22198
"660";"632-11-6392";0;16760
"661";"857-99-8350";0;9120
"662";"524-40-6146";0;2908
"663";"983-32-2647";496741;12406
"664";"941-97-9229";471781;3087
"665";"137-42-3448";0;13404
"666";"174-45-2946";651522;7250
"667";"640-51-4834";0;12036
"668";"962-77-4063";0;2954
"669";"575-74-8394";0;9682
"670";"924-13-7062";381976;18660
"671";"668-33-8332";485499;4508
"672";"874-59-9554";0;11307
"673";"946-53-4649";883877;26466
"674";"103-87-2410";207750;9865
"675";"924-65-2055";477627;10834
"676";"624-11-8616";0;3875
"677";"251-79-9341";0;20977
"678";"891-21-6733";338818;7998
"679";"138-35-3359";0;4415
"680";"775-85-5219";271027;22615
"681";"577-94-5969";0;1723
"682";"950-66-9607";0;19775
"683";"164-18-7324";0;32358
"684";"100-37-8950";372324;6771
"685";"558-12-9917";0;414
"686";"981-70-4969";0;9740
"687";"672-41-4060";0;11886
"688";"940-43-2373";0;6602
"689";"283-77-8828";0;3794
"690";"178-26-7233";0;16534
"691";"558-55-2339";0;2047
"692";"462-70-2508";0;8772
"693";"641-66-5831";0;8118
"694";"606-78-4609";423403;5236
"695";"671-89-4826";720735;12533
"696";"691-36-4304";589771;16292
"697";"559-60-7723";0;9198
"698";"764-60-4269";0;8802
"699";"318-66-8141";0;11520
"700";"106-28-1929";533065;15059
"701";"646-63-1337";524299;13181
"702";"350-28-2504";0;14353
"703";"350-97-4304";0;26903
"704";"132-48-9098";738873;13677
"705";"153-62-8186";298255;16353
"706";"498-22-9167";811918;9529
"707";"783-16-6644";0;10464
"708";"923-16-4744";0;8794
"709";"837-26-1842";264756;9512
"710";"648-58-6484";0;4721
"711";"147-30-9139";0;3443
"712";"521-35-9455";510167;8549
"713";"404-42-5875";0;5270
"714";"621-78-2913";0;11193
"715";"909-11-7541";716119;2583
"716";"572-78-6814";0;9038
"717";"508-18-2225";615894;6090
"718";"748-53-5974";267773;8803
"719";"106-86-8385";0;5278
"720";"438-62-7095";379073;18611
"721";"280-20-9148";420556;10547
"722";"508-91-1516";0;7666
"723";"698-46-4422";0;16268
"724";"787-62-5771";0;6614
"725";"799-55-7007";0;848
"726";"256-37-2832";661328;17515
"727";"540-42-2114";0;17379
"728";"629-79-9249";612707;14230
"729";"430-18-7164";0;21464
"730";"419-44-5331";0;27276
"731";"445-70-1544";700206;19633
"732";"298-21-2021";324242;17347
"733";"663-56-3055";622697;17257
"734";"603-73-1571";0;5751
"735";"583-21-7428";0;11858
"736";"181-99-3582";253557;4830
"737";"126-60-7241";0;5139
"738";"193-99-4428";439163;1215
"739";"193-22-1331";453061;7445
"740";"629-71-2188";469884;11488
"741";"611-30-3643";0;21522
"742";"704-90-7174";510784;2942
"743";"473-69-2844";0;24191
"744";"542-25-3342";0;4991
"745";"535-69-3127";0;23380
"746";"638-12-1514";0;8161
"747";"431-77-3673";0;15355
"748";"276-24-9076";0;6459
"749";"342-53-6582";0;14854
"750";"513-84-6579";0;9769
"751";"275-45-1707";0;2718
"752";"962-48-7285";0;8123
"753";"834-60-1512";542132;9829
"754";"321-71-1821";0;15325
"755";"334-59-2066";303461;3426
"756";"512-78-8915";0;16697
"757";"247-48-6340";0;11072
"758";"353-41-8240";0;16632
"759";"716-53-8707";0;13902
"760";"637-81-2761";444816;3680
"761";"398-49-6936";0;3073
"762";"618-64-3260";333107;10703
"763";"598-14-8664";0;4734
"764";"901-59-7197";0;4193
"765";"177-86-3591";0;1798
"766";"265-67-4889";0;12633
"767";"459-94-5355";588339;318
"768";"877-81-5421";0;2996
"769";"364-39-8157";0;13177
"770";"764-28-8637";0;2831
"771";"439-31-1487";0;42455
"772";"134-95-8905";552268;250
"773";"263-78-8731";0;5682
"774";"625-96-7886";529262;1852
"775";"699-88-2690";0;8562
"776";"729-67-1582";474368;7466
"777";"761-14-3428";129796;6211
"778";"847-72-3487";520541;6617
"779";"192-46-6163";0;10700
"780";"212-39-7071";0;14883
"781";"742-27-9953";617300;10045
"782";"530-40-5693";0;12275
"783";"792-43-5794";276738;10393
"784";"944-74-9809";369722;9523
"785";"966-86-7794";468798;12055
"786";"863-20-1615";817433;16292
"787";"141-92-1715";0;10318
"788";"176-51-9441";0;5409
"789";"999-34-1267";0;27894
"790";"103-98-3481";0;38219
"791";"875-29-4601";0;7093
"792";"151-70-5778";0;6476
"793";"161-12-8016";0;4775
"794";"550-30-7549";0;2860
"795";"671-74-2551";0;1570
"796";"870-41-6350";724677;4004
"797";"760-75-2692";376914;6016
"798";"153-18-3610";272094;11782
"799";"336-66-9120";0;12849
"800";"485-94-5704";0;14992
"801";"595-39-3890";257001;3196
"802";"521-95-3324";713973;16254
"803";"143-57-4667";333572;11391
"804";"147-33-4971";0;4241
"805";"186-28-2469";0;3319
"806";"934-64-4009";283692;17792
"807";"733-37-1440";0;13122
"808";"121-72-8933";0;3860
"809";"686-48-3989";0;4366
"810";"584-11-2518";0;11507
"811";"520-41-4291";0;10882
"812";"309-57-8043";0;17786
"813";"929-13-4181";228675;5679
"814";"445-74-1759";0;1122
"815";"128-22-8884";0;1344
"816";"693-31-9929";0;4815
"817";"735-42-9115";0;5484
"818";"239-46-6009";0;11168
"819";"258-47-3122";369877;17708
"820";"996-27-7036";0;6942
"821";"665-70-3628";0;12584
"822";"691-77-7304";0;13791
"823";"109-58-1194";0;12968
"824";"342-62-7830";750657;3694
"825";"757-46-5623";0;22984
"826";"844-72-3479";815281;7749
"827";"878-99-8984";713915;1164
"828";"860-48-5734";0;3113
"829";"431-66-5140";404632;7876
"830";"516-38-4333";1023849;9793
"831";"967-52-1646";0;7868
"832";"416-49-4707";525161;3283
"833";"392-31-4690";0;8191
"834";"167-46-6360";0;14073
"835";"569-39-5115";279451;21581
"836";"843-91-4645";383137;13489
"837";"976-39-3546";0;11042
"838";"379-73-5222";319238;3555
"839";"153-88-9376";0;11491
"840";"634-91-8428";0;2281
"841";"880-30-7724";0;10771
"842";"944-86-4751";429341;5354
"843";"603-80-2582";0;9683
"844";"638-36-6593";459997;17266
"845";"823-53-6761";0;21713
"846";"567-30-1381";811838;4459
"847";"983-91-9270";0;7741
"848";"393-22-1364";755138;4035
"849";"539-55-5094";0;17032
"850";"835-21-2313";0;17520
"851";"113-22-2644";0;34126
"852";"709-37-1121";0;10794
"853";"583-64-3739";0;22689
"854";"859-79-7186";381922;9681
